dst,distinct_drugs,admissions,patients,disease_label
icd:10:I871,1,14,13,Compression of vein
icd:10:J4541,1,14,12,Moderate persistent asthma with (acute) exacerbation
icd:10:K30,1,14,13,Functional dyspepsia
icd:10:K439,1,14,14,Ventral hernia without obstruction or gangrene
icd:10:K581,1,14,12,Irritable bowel syndrome with constipation
icd:10:K754,1,14,10,Autoimmune hepatitis
icd:10:K8033,1,14,14,Calculus of bile duct with acute cholangitis with obstruction
icd:10:L270,1,14,14,Generalized skin eruption due to drugs and medicaments taken internally
icd:10:M4854XA,1,14,14,"Collapsed vertebra, not elsewhere classified, thoracic region, initial encounter for fracture"
icd:10:R1084,1,14,14,Generalized abdominal pain
icd:10:R740,1,14,13,Nonspecific elevation of levels of transaminase and lactic acid dehydrogenase [LDH]
icd:10:S32019A,1,14,14,"Unspecified fracture of first lumbar vertebra, initial encounter for closed fracture"
icd:10:Z433,1,14,14,Encounter for attention to colostomy
icd:9:11284,1,14,13,Candidal esophagitis
icd:9:1963,1,14,14,Secondary and unspecified malignant neoplasm of lymph nodes of axilla and upper limb
icd:9:2330,1,14,13,Carcinoma in situ of breast
icd:9:4160,1,14,13,Primary pulmonary hypertension
icd:9:45385,1,14,14,Acute venous embolism and thrombosis of subclavian veins
icd:9:47874,1,14,9,Stenosis of larynx
icd:9:53190,1,14,14,"Gastric ulcer, unspecified as acute or chronic, without mention of hemorrhage or perforation, without mention of obstruction"
icd:9:53541,1,14,14,"Other specified gastritis, with hemorrhage"
icd:9:5400,1,14,14,Acute appendicitis with generalized peritonitis
icd:9:59381,1,14,14,Vascular disorders of kidney
icd:9:9694,1,14,13,Poisoning by benzodiazepine-based tranquilizers
icd:10:B029,1,13,12,Zoster without complications
icd:10:C3401,1,13,13,Malignant neoplasm of right main bronchus
icd:10:D251,1,13,13,Intramural leiomyoma of uterus
icd:10:D735,1,13,12,Infarction of spleen
icd:10:F10229,1,13,13,"Alcohol dependence with intoxication, unspecified"
icd:10:F5001,1,13,13,"Anorexia nervosa, restricting type"
icd:10:G936,1,13,13,Cerebral edema
icd:10:I2729,1,13,13,Other secondary pulmonary hypertension
icd:10:I4811,1,13,13,Longstanding persistent atrial fibrillation
icd:10:I4821,1,13,13,Permanent atrial fibrillation
icd:10:I63512,1,13,13,Cerebral infarction due to unspecified occlusion or stenosis of left middle cerebral artery
icd:10:I9751,1,13,13,Accidental puncture and laceration of a circulatory system organ or structure during a circulatory system procedure
icd:10:J470,1,13,10,Bronchiectasis with acute lower respiratory infection
icd:10:K2211,1,13,13,Ulcer of esophagus with bleeding
icd:10:K6289,1,13,12,Other specified diseases of anus and rectum
icd:10:K8063,1,13,13,Calculus of gallbladder and bile duct with acute cholecystitis with obstruction
icd:10:K851,1,13,12,Biliary acute pancreatitis
icd:10:M869,1,13,13,"Osteomyelitis, unspecified"
icd:10:N99820,1,13,12,Postprocedural hemorrhage of a genitourinary system organ or structure following a genitourinary system procedure
icd:10:Q230,1,13,13,Congenital stenosis of aortic valve
icd:10:R1030,1,13,13,"Lower abdominal pain, unspecified"
icd:10:T8140XA,1,13,13,"Infection following a procedure, unspecified, initial encounter"
icd:10:T84020A,1,13,9,"Dislocation of internal right hip prosthesis, initial encounter"
icd:10:Z5181,1,13,12,Encounter for therapeutic drug level monitoring
icd:9:2127,1,13,13,Benign neoplasm of heart
icd:9:25022,1,13,13,"Diabetes with hyperosmolarity, type II or unspecified type, uncontrolled"
icd:9:27541,1,13,12,Hypocalcemia
icd:9:29534,1,13,12,"Paranoid type schizophrenia, chronic with acute exacerbation"
icd:9:29624,1,13,12,"Major depressive affective disorder, single episode, severe, specified as with psychotic behavior"
icd:9:29680,1,13,13,"Bipolar disorder, unspecified"
icd:9:3379,1,13,11,Unspecified disorder of autonomic nervous system
icd:9:34541,1,13,10,"Localization-related (focal) (partial) epilepsy and epileptic syndromes with complex partial seizures, with intractable epilepsy"
icd:9:3570,1,13,12,Acute infective polyneuritis
icd:9:38610,1,13,12,"Peripheral vertigo, unspecified"
icd:9:4238,1,13,13,Other specified diseases of pericardium
icd:9:4290,1,13,11,"Myocarditis, unspecified"
icd:9:4538,1,13,13,Venous thrombosis nec
icd:9:4558,1,13,13,Unspecified hemorrhoids with other complication
icd:9:4568,1,13,11,Varices of other sites
icd:9:4578,1,13,12,Other noninfectious disorders of lymphatic channels
icd:9:5168,1,13,13,Other specified alveolar and parietoalveolar pneumonopathies
icd:9:5370,1,13,10,Acquired hypertrophic pyloric stenosis
icd:9:56722,1,13,11,Peritoneal abscess
icd:9:6262,1,13,13,Excessive or frequent menstruation
icd:9:97081,1,13,11,Poisoning by cocaine
icd:9:99656,1,13,12,Mechanical complication due to peritoneal dialysis catheter
icd:9:99679,1,13,13,"Other complications due to other internal prosthetic device, implant, and graft"
icd:10:A481,1,12,12,Legionnaires' disease
icd:10:C169,1,12,12,"Malignant neoplasm of stomach, unspecified"
icd:10:C180,1,12,12,Malignant neoplasm of cecum
icd:10:C187,1,12,12,Malignant neoplasm of sigmoid colon
icd:10:C3492,1,12,12,Malignant neoplasm of unspecified part of left bronchus or lung
icd:10:C561,1,12,11,Malignant neoplasm of right ovary
icd:10:C678,1,12,10,Malignant neoplasm of overlapping sites of bladder
icd:10:D151,1,12,12,Benign neoplasm of heart
icd:10:D702,1,12,12,Other drug-induced agranulocytosis
icd:10:D703,1,12,12,Neutropenia due to infection
icd:10:F10231,1,12,11,Alcohol dependence with withdrawal delirium
icd:10:G43809,1,12,12,"Other migraine, not intractable, without status migrainosus"
icd:10:G720,1,12,12,Drug-induced myopathy
icd:10:I2723,1,12,10,Pulmonary hypertension due to lung diseases and hypoxia
icd:10:J84116,1,12,11,Cryptogenic organizing pneumonia
icd:10:J9811,1,12,12,Atelectasis
icd:10:K2920,1,12,12,Alcoholic gastritis without bleeding
icd:10:K5080,1,12,10,Crohn's disease of both small and large intestine without complications
icd:10:K7689,1,12,10,Other specified diseases of liver
icd:10:K8044,1,12,12,Calculus of bile duct with chronic cholecystitis without obstruction
icd:10:K9423,1,12,11,Gastrostomy malfunction
icd:10:L89154,1,12,12,"Pressure ulcer of sacral region, stage 4"
icd:10:M47896,1,12,12,"Other spondylosis, lumbar region"
icd:10:N178,1,12,12,Other acute kidney failure
icd:10:S72401A,1,12,12,"Unspecified fracture of lower end of right femur, initial encounter for closed fracture"
icd:10:S82142A,1,12,12,"Displaced bicondylar fracture of left tibia, initial encounter for closed fracture"
icd:10:T8209XA,1,12,12,"Other mechanical complication of heart valve prosthesis, initial encounter"
icd:10:Z510,1,12,7,Encounter for antineoplastic radiation therapy
icd:9:0091,1,12,12,"Colitis, enteritis, and gastroenteritis of presumed infectious origin"
icd:9:2180,1,12,12,Submucous leiomyoma of uterus
icd:9:261,1,12,12,Nutritional marasmus
icd:9:27650,1,12,12,"Volume depletion, unspecified"
icd:9:3314,1,12,12,Obstructive hydrocephalus
icd:9:3489,1,12,12,Unspecified condition of brain
icd:9:41051,1,12,12,"Acute myocardial infarction of other lateral wall, initial episode of care"
icd:9:4801,1,12,12,Pneumonia due to respiratory syncytial virus
icd:9:5733,1,12,12,"Hepatitis, unspecified"
icd:9:57512,1,12,12,Acute and chronic cholecystitis
icd:9:78905,1,12,12,"Abdominal pain, periumbilic"
icd:9:7904,1,12,10,Nonspecific elevation of levels of transaminase or lactic acid dehydrogenase [LDH]
icd:9:82302,1,12,12,Closed fracture of upper end of fibula with tibia
icd:9:99939,1,12,12,"Infection following other infusion, injection, transfusion, or vaccination"
icd:9:V7651,1,12,12,Special screening for malignant neoplasms of colon
icd:10:A045,1,11,11,Campylobacter enteritis
icd:10:B59,1,11,11,Pneumocystosis
icd:10:C240,1,11,11,Malignant neoplasm of extrahepatic bile duct
icd:10:C801,1,11,11,"Malignant (primary) neoplasm, unspecified"
icd:10:D120,1,11,9,Benign neoplasm of cecum
icd:10:D333,1,11,11,Benign neoplasm of cranial nerves
icd:10:D72829,1,11,11,"Elevated white blood cell count, unspecified"
icd:10:E1121,1,11,11,Type 2 diabetes mellitus with diabetic nephropathy
icd:10:E872,1,11,11,Acidosis
icd:10:F339,1,11,11,"Major depressive disorder, recurrent, unspecified"
icd:10:G0481,1,11,4,Other encephalitis and encephalomyelitis
icd:10:G08,1,11,9,Intracranial and intraspinal phlebitis and thrombophlebitis
icd:10:H8120,1,11,11,"Vestibular neuronitis, unspecified ear"
icd:10:I63132,1,11,11,Cerebral infarction due to embolism of left carotid artery
icd:10:J156,1,11,11,Pneumonia due to other Gram-negative bacteria
icd:10:J811,1,11,11,Chronic pulmonary edema
icd:10:K209,1,11,11,"Esophagitis, unspecified"
icd:10:K5100,1,11,11,Ulcerative (chronic) pancolitis without complications
icd:10:K5641,1,11,11,Fecal impaction
icd:10:K565,1,11,11,Intestinal adhesions [bands] with obstruction (postinfection)
icd:10:K632,1,11,10,Fistula of intestine
icd:10:K651,1,11,11,Peritoneal abscess
icd:10:K8001,1,11,11,Calculus of gallbladder with acute cholecystitis with obstruction
icd:10:K8521,1,11,10,Alcohol induced acute pancreatitis with uninfected necrosis
icd:10:L02211,1,11,9,Cutaneous abscess of abdominal wall
icd:10:M009,1,11,11,"Pyogenic arthritis, unspecified"
icd:10:M069,1,11,11,"Rheumatoid arthritis, unspecified"
icd:10:M459,1,11,1,Ankylosing spondylitis of unspecified sites in spine
icd:10:M7989,1,11,11,Other specified soft tissue disorders
icd:10:N028,1,11,11,Recurrent and persistent hematuria with other morphologic changes
icd:10:N3080,1,11,9,Other cystitis without hematuria
icd:10:N529,1,11,11,"Male erectile dysfunction, unspecified"
icd:10:N62,1,11,11,Hypertrophy of breast
icd:10:N939,1,11,11,"Abnormal uterine and vaginal bleeding, unspecified"
icd:10:N99521,1,11,8,Infection of incontinent external stoma of urinary tract
icd:10:Q2733,1,11,11,Arteriovenous malformation of digestive system vessel
icd:10:R002,1,11,9,Palpitations
icd:10:R0781,1,11,11,Pleurodynia
icd:10:S2220XA,1,11,11,"Unspecified fracture of sternum, initial encounter for closed fracture"
icd:10:S2232XA,1,11,11,"Fracture of one rib, left side, initial encounter for closed fracture"
icd:10:T796XXA,1,11,11,"Traumatic ischemia of muscle, initial encounter"
icd:10:T80212A,1,11,10,"Local infection due to central venous catheter, initial encounter"
icd:10:T8029XA,1,11,11,"Infection following other infusion, transfusion and therapeutic injection, initial encounter"
icd:10:T8144XA,1,11,11,"Sepsis following a procedure, initial encounter"
icd:10:T8571XA,1,11,11,"Infection and inflammatory reaction due to peritoneal dialysis catheter, initial encounter"
icd:10:Z481,1,11,11,Encounter for planned postprocedural wound closure
icd:9:00843,1,11,11,Intestinal infection due to campylobacter
icd:9:1624,1,11,11,"Malignant neoplasm of middle lobe, bronchus or lung"
icd:9:1744,1,11,11,Malignant neoplasm of upper-outer quadrant of female breast
icd:9:20050,1,11,7,"Primary central nervous system lymphoma, unspecified site, extranodal and solid organ sites"
icd:9:20972,1,11,10,Secondary neuroendocrine tumor of liver
icd:9:2182,1,11,11,Subserous leiomyoma of uterus
icd:9:25043,1,11,9,"Diabetes with renal manifestations, type I [juvenile type], uncontrolled"
icd:9:30011,1,11,11,Conversion disorder
icd:9:30981,1,11,11,Posttraumatic stress disorder
icd:9:34511,1,11,10,"Generalized convulsive epilepsy, with intractable epilepsy"
icd:9:3510,1,11,11,Bell's palsy
icd:9:40401,1,11,11,"Hypertensive heart and chronic kidney disease, malignant, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified"
icd:9:4417,1,11,11,"Thoracoabdominal aneurysm, without mention of rupture"
icd:9:4532,1,11,11,Other venous embolism and thrombosis of inferior vena cava
icd:9:45351,1,11,11,Chronic venous embolism and thrombosis of deep vessels of proximal lower extremity
icd:9:5110,1,11,10,Pleurisy without mention of effusion or current tuberculosis
icd:9:53490,1,11,8,"Gastrojejunal ulcer, unspecified as acute or chronic, without mention of hemorrhage or perforation, without mention of obstruction"
icd:9:56213,1,11,11,Diverticulitis of colon with hemorrhage
icd:9:56949,1,11,11,Other specified disorders of rectum and anus
icd:9:59582,1,11,10,Irradiation cystitis
icd:9:73819,1,11,11,Other specified acquired deformity of head
icd:9:7866,1,11,11,"Swelling, mass, or lump in chest"
icd:9:81301,1,11,11,Closed fracture of olecranon process of ulna
icd:9:85200,1,11,11,"Subarachnoid hemorrhage following injury without mention of open intracranial wound, unspecified state of consciousness"
icd:9:99702,1,11,11,Iatrogenic cerebrovascular infarction or hemorrhage
icd:9:99709,1,11,7,Other nervous system complications
icd:10:A400,1,10,10,"Sepsis due to streptococcus, group A"
icd:10:A403,1,10,10,Sepsis due to Streptococcus pneumoniae
icd:10:B1921,1,10,10,Unspecified viral hepatitis C with hepatic coma
icd:10:C184,1,10,10,Malignant neoplasm of transverse colon
icd:10:C710,1,10,10,"Malignant neoplasm of cerebrum, except lobes and ventricles"
icd:10:C7A1,1,10,10,Malignant poorly differentiated neuroendocrine tumors
icd:10:C7B8,1,10,8,Other secondary neuroendocrine tumors
icd:10:C8331,1,10,9,"Diffuse large B-cell lymphoma, lymph nodes of head, face, and neck"
icd:10:D110,1,10,10,Benign neoplasm of parotid gland
icd:10:D3502,1,10,10,Benign neoplasm of left adrenal gland
icd:10:E1051,1,10,8,Type 1 diabetes mellitus with diabetic peripheral angiopathy without gangrene
icd:10:E1052,1,10,9,Type 1 diabetes mellitus with diabetic peripheral angiopathy with gangrene
icd:10:E2740,1,10,10,Unspecified adrenocortical insufficiency
icd:10:E662,1,10,10,Morbid (severe) obesity with alveolar hypoventilation
icd:10:F0150,1,10,10,"Vascular dementia, unspecified severity, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety"
icd:10:F202,1,10,4,Catatonic schizophrenia
icd:10:F603,1,10,9,Borderline personality disorder
icd:10:G40802,1,10,8,"Other epilepsy, not intractable, without status epilepticus"
icd:10:I2121,1,10,10,ST elevation (STEMI) myocardial infarction involving left circumflex coronary artery
icd:10:I50813,1,10,10,Acute on chronic right heart failure
icd:10:I63311,1,10,10,Cerebral infarction due to thrombosis of right middle cerebral artery
icd:10:I6349,1,10,10,Cerebral infarction due to embolism of other cerebral artery
icd:10:I716,1,10,10,"Thoracoabdominal aortic aneurysm, without rupture"
icd:10:I82432,1,10,10,Acute embolism and thrombosis of left popliteal vein
icd:10:J029,1,10,10,"Acute pharyngitis, unspecified"
icd:10:J1289,1,10,10,Other viral pneumonia
icd:10:J15212,1,10,10,Pneumonia due to Methicillin resistant Staphylococcus aureus
icd:10:J386,1,10,10,Stenosis of larynx
icd:10:J82,1,10,5,"Pulmonary eosinophilia, not elsewhere classified"
icd:10:K2210,1,10,9,Ulcer of esophagus without bleeding
icd:10:K259,1,10,10,"Gastric ulcer, unspecified as acute or chronic, without hemorrhage or perforation"
icd:10:K315,1,10,9,Obstruction of duodenum
icd:10:K627,1,10,7,Radiation proctitis
icd:10:K6389,1,10,10,Other specified diseases of intestine
icd:10:K8042,1,10,10,Calculus of bile duct with acute cholecystitis without obstruction
icd:10:K8301,1,10,9,Primary sclerosing cholangitis
icd:10:K913,1,10,10,Postprocedural intestinal obstruction
icd:10:L7622,1,10,10,Postprocedural hemorrhage of skin and subcutaneous tissue following other procedure
icd:10:M25551,1,10,10,Pain in right hip
icd:10:N2889,1,10,9,Other specified disorders of kidney and ureter
icd:10:N9989,1,10,10,Other postprocedural complications and disorders of genitourinary system
icd:10:R05,1,10,10,Cough
icd:10:R102,1,10,10,Pelvic and perineal pain
icd:10:R5383,1,10,10,Other fatigue
icd:10:S72012A,1,10,10,"Unspecified intracapsular fracture of left femur, initial encounter for closed fracture"
icd:10:T182XXA,1,10,8,"Foreign body in stomach, initial encounter"
icd:10:T8183XA,1,10,10,"Persistent postprocedural fistula, initial encounter"
icd:10:T8452XA,1,10,8,"Infection and inflammatory reaction due to internal left hip prosthesis, initial encounter"
icd:10:T8463XA,1,10,10,"Infection and inflammatory reaction due to internal fixation device of spine, initial encounter"
icd:10:T8789,1,10,9,Other complications of amputation stump
icd:10:Z430,1,10,9,Encounter for attention to tracheostomy
icd:9:0785,1,10,9,Cytomegaloviral disease
icd:9:135,1,10,8,Sarcoidosis
icd:9:20283,1,10,9,"Other malignant lymphomas, intra-abdominal lymph nodes"
icd:9:2740,1,10,10,Gouty arthropathy
icd:9:29530,1,10,10,"Paranoid type schizophrenia, unspecified"
icd:9:30300,1,10,9,"Acute alcoholic intoxication in alcoholism, unspecified"
icd:9:3410,1,10,5,Neuromyelitis optica
icd:9:34580,1,10,9,"Other forms of epilepsy and recurrent seizures, without mention of intractable epilepsy"
icd:9:3950,1,10,10,Rheumatic aortic stenosis
icd:9:40201,1,10,10,Malignant hypertensive heart disease with heart failure
icd:9:41072,1,10,10,"Subendocardial infarction, subsequent episode of care"
icd:9:43330,1,10,10,Occlusion and stenosis of multiple and bilateral precerebral arteries without mention of cerebral infarction
icd:9:4377,1,10,10,Transient global amnesia
icd:9:4465,1,10,10,Giant cell arteritis
icd:9:49302,1,10,9,Extrinsic asthma with (acute) exacerbation
icd:9:49390,1,10,9,"Asthma, unspecified type, unspecified"
icd:9:496,1,10,10,"Chronic airway obstruction, not elsewhere classified"
icd:9:53530,1,10,10,"Alcoholic gastritis, without mention of hemorrhage"
icd:9:55220,1,10,10,"Ventral, unspecified, hernia with obstruction"
icd:9:5568,1,10,8,Other ulcerative colitis
icd:9:5602,1,10,8,Volvulus
icd:9:5728,1,10,10,Other sequelae of chronic liver disease
icd:9:5819,1,10,10,Nephrotic syndrome with unspecified pathological lesion in kidney
icd:9:5959,1,10,10,"Cystitis, unspecified"
icd:9:59970,1,10,10,"Hematuria, unspecified"
icd:9:6084,1,10,10,Other inflammatory disorders of male genital organs
icd:9:6110,1,10,8,Inflammatory disease of breast
icd:9:61801,1,10,10,"Cystocele, midline"
icd:9:61804,1,10,10,Rectocele
icd:9:70719,1,10,10,Ulcer of other part of lower limb
icd:9:72610,1,10,10,"Disorders of bursae and tendons in shoulder region, unspecified"
icd:9:7850,1,10,10,"Tachycardia, unspecified"
icd:9:81200,1,10,10,Closed fracture of unspecified part of upper end of humerus
icd:9:81344,1,10,9,Closed fracture of lower end of radius with ulna
icd:9:82322,1,10,10,Closed fracture of shaft of fibula with tibia
icd:9:96501,1,10,10,Poisoning by heroin
icd:9:9693,1,10,9,"Poisoning by other antipsychotics, neuroleptics, and major tranquilizers"
icd:9:99741,1,10,10,Retained cholelithiasis following cholecystectomy
